hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
4880,72.9369525879975,0,0,0
4881,72.9981730306691,0,0,0
4882,73.219286752809,0,0,0
4883,73.5245272147315,0,0,0
4884,73.8969108302239,0,0,0
4885,74.3834314819652,0,0,0
4886,74.9071449591136,0,0,0
4887,75.3580545459085,0,0,0
4888,75.8502096008772,0,0,0
4889,76.2885526087093,0,0,0
4890,76.6389023088972,0,0,0
4891,76.8547398237828,0,0,0
4892,76.8120345411985,0,0,0
4893,76.4886276058053,0,0,0
4894,76.023671832397,0,0,0
4895,75.5716892386816,0,0,0
4896,75.2014558526119,0,0,0
4897,74.7980898392193,0,0,0
4898,74.4062573203222,0,0,0
4899,73.9565971462346,0,0,0
4900,73.4768873296296,0,0,0
4901,73.0218291935186,0,0,0
4902,72.5349236186348,0,0,0
4903,72.1545600132226,0,0,0
4904,71.9914281758918,0,0,0
4905,72.0528520110701,0,0,0
4906,72.3136127373924,0,0,0
4907,72.7433761734068,0,0,0
4908,73.2373889643297,0,0,0
4909,73.8511157746003,0,0,0
4910,74.4732355636532,0,0,0
4911,75.0932517771605,0,0,0
4912,75.6479240829218,0,0,0
4913,76.218472059902,0,0,0
4914,76.6371133332714,0,0,0
4915,76.8926324486941,0,0,0
4916,76.9045681284204,0,0,0
4917,76.7306873773235,0,0,0
4918,76.4461316921642,0,0,0
4919,76.0878287961923,0,0,0
4920,75.6825125390137,0,0,0
4921,75.2497183027466,0,0,0
4922,74.7723546101634,0,0,0
4923,74.3182431770953,0,0,0
4924,73.8528342571518,0,0,0
4925,73.3758272210821,0,0,0
4926,72.892154880908,0,0,0
4927,72.4643219620647,0,0,0
4928,72.2461028510572,0,0,0
4929,72.3164110161692,0,0,0
4930,72.5738170267413,0,0,0
4931,73.0302346223668,0,0,0
4932,73.6394242706674,0,0,0
4933,74.2715910696517,0,0,0
4934,74.8814642125154,0,0,0
4935,75.5188930067901,0,0,0
4936,76.0841462576876,0,0,0
4937,76.6307715094628,0,0,0
4938,77.0104441568282,0,0,0
4939,77.3189237250617,0,0,0
4940,77.3631527242593,0,0,0
4941,77.1704280404321,0,0,0
4942,76.8260471353087,0,0,0
4943,76.4034277603395,0,0,0
4944,75.9772719895449,0,0,0
4945,75.584383556273,0,0,0
4946,75.1684680212177,0,0,0
4947,74.6960283223444,0,0,0
4948,74.2005289501217,0,0,0
4949,73.7579005605231,0,0,0
4950,73.3029533980464,0,0,0
4951,72.8948068644689,0,0,0
4952,72.7029102387057,0,0,0
4953,72.7946286206813,0,0,0
4954,73.0341453187879,0,0,0
4955,73.3560556154205,0,0,0
4956,73.8282059498792,0,0,0
4957,74.34976028593,0,0,0
4958,74.9598985592995,0,0,0
4959,75.5705284133454,0,0,0
4960,76.1099980087561,0,0,0
4961,76.6397041913357,0,0,0
4962,76.9501604479543,0,0,0
4963,77.1469384859112,0,0,0
4964,77.1115995267751,0,0,0
4965,76.8784206615524,0,0,0
4966,76.4921621086957,0,0,0
4967,76.0311620510265,0,0,0
4968,75.6494548191425,0,0,0
4969,75.2723878929069,0,0,0
4970,74.8426067835145,0,0,0
4971,74.3635124476534,0,0,0
4972,73.9029077569194,0,0,0
4973,73.4700518739471,0,0,0
4974,73.0522122187727,0,0,0
4975,72.6895788025362,0,0,0
4976,72.5271396449,0,0,0
4977,72.5505086275757,0,0,0
4978,72.6363704133454,0,0,0
4979,72.8457274492754,0,0,0
4980,73.1462067383109,0,0,0
4981,73.5455017327273,0,0,0
4982,73.9546798499725,0,0,0
4983,74.3711857775758,0,0,0
4984,74.7568900793795,0,0,0
4985,75.1589925782065,0,0,0
4986,75.4653344206349,0,0,0
4987,75.6197160142944,0,0,0
4988,75.6665751410867,0,0,0
4989,75.5151299284882,0,0,0
4990,75.2200326626985,0,0,0
4991,74.8452508702686,0,0,0
4992,74.4447242826618,0,0,0
4993,74.0288152101582,0,0,0
4994,73.5662356155717,0,0,0
4995,73.0837648166059,0,0,0
4996,72.5964157879702,0,0,0
4997,72.1174286216545,0,0,0
4998,71.6947869729319,0,0,0
4999,71.3436112977576,0,0,0
5000,71.2409177546061,0,0,0
5001,71.3336154682684,0,0,0
5002,71.5471300617396,0,0,0
5003,71.9664531844448,0,0,0
5004,72.495557186508,0,0,0
5005,73.0924007608774,0,0,0
5006,73.7026328766305,0,0,0
5007,74.3053540544954,0,0,0
5008,74.8929856567029,0,0,0
5009,75.3814993309266,0,0,0
5010,75.7518475705776,0,0,0
5011,75.9596313671497,0,0,0
5012,75.9863824613527,0,0,0
5013,75.8112649628623,0,0,0
5014,75.4931030407609,0,0,0
5015,75.1489563829601,0,0,0
5016,74.7394839873189,0,0,0
5017,74.3390917886473,0,0,0
5018,73.8961958146135,0,0,0
5019,73.3978154142424,0,0,0
